,trial,block,state,p_r_0,ev_0,p_r_1,ev_1,r,a,corr,p_a_0,Q_0,p_a_1,Q_1,ll
145,145.0,1.0,2.0,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.41739373908849736,0.22935502557403398,0.5826062609115026,0.2727076330834143,-0.5402436880135117
146,146.0,1.0,2.0,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.27629662024544055,0.22935502557403398,0.7237033797545595,0.3545328851733851,-0.3233736670165528
147,147.0,1.0,2.0,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.20330920861109475,0.22935502557403398,0.7966907913889053,0.4069010465109665,-0.22728864110505945
148,148.0,1.0,2.0,0.5,0.25,0.5,0.25,0.0,1.0,1.0,0.16471571090943235,0.22935502557403398,0.8352842890905676,0.44041666976701854,-0.17998314609994262
149,149.0,1.0,2.0,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.29354457803647005,0.22935502557403398,0.70645542196353,0.34352500241827444,-0.3474951758567051
150,150.0,1.0,2.0,0.5,0.25,0.5,0.25,0.0,1.0,1.0,0.2122282625504347,0.22935502557403398,0.7877717374495653,0.3998560015476956,-0.2385469043750223
151,151.0,1.0,2.0,0.5,0.25,0.5,0.25,0.0,1.0,1.0,0.3464078756254343,0.22935502557403398,0.6535921243745657,0.31188768120720256,-0.4252717851194586
152,152.0,1.0,1.0,0.8,0.4,0.2,0.1,0.0,0.0,1.0,0.47326136809323543,0.22935502557403398,0.5267386319067645,0.243272391341618,-0.7481074678537206
153,153.0,1.0,1.0,0.8,0.4,0.2,0.1,0.0,1.0,0.0,0.3786703045842853,0.1788969199477465,0.6213296954157147,0.243272391341618,-0.4758934274394775
154,154.0,1.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.47913607353380694,0.1788969199477465,0.5208639264661931,0.18975246524646203,-0.7357706435551603
155,155.0,1.0,1.0,0.8,0.4,0.2,0.1,0.0,0.0,1.0,0.6911933694594306,0.2944940287665578,0.30880663054056956,0.18975246524646203,-0.3693356543342651
156,156.0,1.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.5762333681489874,0.22970534243791507,0.42376663185101254,0.18975246524646203,-0.5512425473021391
157,157.0,1.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.741894399148879,0.32701141916026566,0.25810560085112094,0.18975246524646203,-0.2985483651494584
158,158.0,1.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.82271969185834,0.38928730826257,0.17728030814166004,0.18975246524646203,-0.19513972944481764
